candidate_id,candidate_key,first_name,incumbent,last_name,name_display,order,party_id,percent,percent_display,seat,state_id,votes,winner,wasted_votes,winner2,contested,party_id2,state_seat_count
curry-64589,curryd,Dianne,False,Curry,Dianne Curry,1,democrat,36.9,36.9,2,AR,111347,False,111348,0,0,democrat,4
hayes-62182,hayesc,Chris,False,Hayes,Chris Hayes,2,libertarian,4.7,4.7,2,AR,14342,False,14342,0,0,other,4
womack-60238,womacks,Steve,True,Womack,Steve Womack,2,republican,77.3,77.3,3,AR,217192,True,108595,1,0,republican,4
isaacson-65566,isaacsons,Steve,False,Isaacson,Steve Isaacson,1,libertarian,22.7,22.7,3,AR,63715,False,63716,0,0,other,4
westerman-63418,westermanb,Bruce,True,Westerman,Bruce Westerman,2,republican,74.9,74.9,4,AR,182885,True,91442,1,0,republican,4
hicks-65567,hicksk,Kerry,False,Hicks,Kerry Hicks,1,libertarian,25.1,25.1,4,AR,61274,False,61274,0,0,other,4
ohalleran-52697,ohallerant,Tom,False,O'Halleran,Tom O'Halleran,2,democrat,50.7,50.7,1,AZ,142219,True,71109,1,0,democrat,9
babeu-65711,babeup,Paul,False,Babeu,Paul Babeu,1,republican,43.4,43.4,1,AZ,121745,False,121746,0,0,republican,9
parrish-65828,parrishr,Ray,False,Parrish,Ray Parrish,3,green,6.0,6.0,1,AZ,16746,False,16746,0,0,other,9
mcsally-61631,mcsallym,Martha,True,McSally,Martha McSally,1,republican,57.0,57.0,2,AZ,179806,True,89902,1,0,republican,9
heinz-62732,heinzm,Matt,False,Heinz,Matt Heinz,2,democrat,43.0,43.0,2,AZ,135873,False,135874,0,0,democrat,9
grijalva-1131,grijalvar,Raul,True,Grijalva,Raul Grijalva,1,democrat,100.0,0.0,3,AZ,282599,True,141299,1,1,democrat,9
gosar-61002,gosarp,Paul,True,Gosar,Paul Gosar,1,republican,71.5,71.5,4,AZ,203487,True,101743,1,0,republican,9
weisser-62330,weisserm,Mikel,False,Weisser,Mikel Weisser,2,democrat,28.5,28.5,4,AZ,81296,False,81296,0,0,democrat,9
biggs-52611,biggsa,Andy,False,Biggs,Andy Biggs,1,republican,64.1,64.1,5,AZ,205184,True,102591,1,0,republican,9
fuentes-65715,fuentest,Talia,False,Fuentes,Talia Fuentes,2,democrat,35.9,35.9,5,AZ,114940,False,114940,0,0,democrat,9
schweikert-5397,schweikertd,David,True,Schweikert,David Schweikert,1,republican,62.1,62.1,6,AZ,201578,True,100788,1,0,republican,9
williamson-62734,williamsonj,John,False,Williamson,John Williamson,2,democrat,37.9,37.9,6,AZ,122866,False,122866,0,0,democrat,9
gallego-64361,gallegor,Ruben,True,Gallego,Ruben Gallego,2,democrat,75.3,75.3,7,AZ,119465,True,59732,1,0,democrat,9
nunez-65621,nuneze,Eve,False,Nunez,Eve Nunez,1,republican,24.7,24.7,7,AZ,39286,False,39286,0,0,republican,9
franks-1121,frankst,Trent,True,Franks,Trent Franks,1,republican,68.6,68.6,8,AZ,204942,True,102470,1,0,republican,9
salazar-62718,salazarm,Mark,False,Salazar,Mark Salazar,2,green,31.4,31.4,8,AZ,93954,False,93954,0,0,other,9
sinema-5418,sinemak,Kyrsten,True,Sinema,Kyrsten Sinema,2,democrat,60.9,60.9,9,AZ,169055,True,84527,1,0,democrat,9
giles-65622,gilesd,Dave,False,Giles,Dave Giles,1,republican,39.1,39.1,9,AZ,108350,False,108350,0,0,republican,9
la-malfa-52531,la_malfad,Doug,True,La Malfa,Doug La Malfa,1,republican,59.1,59.1,1,CA,185448,True,92723,1,0,republican,53
reed-60871,reedj,Jim,False,Reed,Jim Reed,2,democrat,40.9,40.9,1,CA,128588,False,128588,0,0,democrat,53
huffman-62063,huffmanj,Jared,True,Huffman,Jared Huffman,1,democrat,76.9,76.9,2,CA,254194,True,127096,1,0,democrat,53
mensing-63594,mensingd,Dale,False,Mensing,Dale Mensing,2,republican,23.1,23.1,2,CA,76572,False,76572,0,0,republican,53
garamendi-7136,garamendij,John,True,Garamendi,John Garamendi,2,democrat,59.4,59.4,3,CA,152513,True,76256,1,0,democrat,53
cleek-65008,cleeke,Eugene,False,Cleek,Eugene Cleek,1,republican,40.6,40.6,3,CA,104453,False,104454,0,0,republican,53
mcclintock-52499,mcclintockt,Tom,True,McClintock,Tom McClintock,2,republican,62.7,62.7,4,CA,220133,True,110066,1,0,republican,53
derlet-65010,derletr,Robert,False,Derlet,Bob Derlet,1,democrat,37.3,37.3,4,CA,130845,False,130846,0,0,democrat,53
thompson-1115,thompsonm,Mike,True,Thompson,Mike Thompson,2,democrat,76.9,76.9,5,CA,224526,True,112262,1,0,democrat,53
santamaria-65014,santamariac,Carlos,False,Santamaria,Carlos Santamaria,1,republican,23.1,23.1,5,CA,67565,False,67566,0,0,republican,53
matsui-51416,matsuid,Doris,True,Matsui,Doris Matsui,2,democrat,75.4,75.4,6,CA,177565,True,88782,1,0,democrat,53
evans-65101,evansr,Robert,False,Evans,Robert Evans,1,republican,24.6,24.6,6,CA,57848,False,57848,0,0,republican,53
bera-60686,beraa,Ami,True,Bera,Ami Bera,1,democrat,51.2,51.2,7,CA,152133,True,76066,1,0,democrat,53
jones-65102,joness,Scott,False,Jones,Scott Jones,2,republican,48.8,48.8,7,CA,145168,False,145168,0,0,republican,53
cook-62339,cookp,Paul,True,Cook,Paul Cook,1,republican,62.3,62.3,8,CA,136972,True,68485,1,0,republican,53
ramirez-65019,ramirezr,Rita,False,Ramirez,Rita Ramirez,2,democrat,37.7,37.7,8,CA,83035,False,83036,0,0,democrat,53
mcnerney-50403,mcnerneyj,Jerry,True,McNerney,Jerry McNerney,2,democrat,57.4,57.4,9,CA,133163,True,66581,1,0,democrat,53
amador-63605,amadort,Tony,False,Amador,Tony Amador,1,republican,42.6,42.6,9,CA,98992,False,98992,0,0,republican,53
denham-52493,denhamj,Jeff,True,Denham,Jeff Denham,1,republican,51.7,51.7,10,CA,124671,True,62335,1,0,republican,53
eggman-63608,eggmanm,Michael,False,Eggman,Michael Eggman,2,democrat,48.3,48.3,10,CA,116470,False,116470,0,0,democrat,53
desaulnier-60108,desaulnierm,Mark,True,DeSaulnier,Mark DeSaulnier,1,democrat,72.1,72.1,11,CA,214868,True,107433,1,0,democrat,53
petersen-58712,petersenr,Roger,False,Petersen,Roger Allen Petersen,2,republican,27.9,27.9,11,CA,83341,False,83342,0,0,republican,53
pelosi-24,pelosin,Nancy,True,Pelosi,Nancy Pelosi,1,democrat,80.9,80.9,12,CA,274035,True,137017,1,0,democrat,53
picus-65023,picusp,Preston,False,Picus,Preston Picus,2,independent,19.1,19.1,12,CA,64810,False,64810,0,0,other,53
lee-28,leeb,Barbara,True,Lee,Barbara Lee,2,democrat,90.8,90.8,13,CA,293117,True,146558,1,0,democrat,53
caro-65024,caros,Sue,False,Caro,Sue Caro,1,republican,9.2,9.2,13,CA,29754,False,29754,0,0,republican,53
speier-52489,speierj,Jackie,True,Speier,Jackie Speier,2,democrat,80.9,80.9,14,CA,231630,True,115814,1,0,democrat,53
cardenas-65579,cardenasa,Angel,False,Cardenas,Angel Cardenas,1,republican,19.1,19.1,14,CA,54817,False,54818,0,0,republican,53
swalwell-62343,swalwelle,Eric,True,Swalwell,Eric Swalwell,1,democrat,73.8,73.8,15,CA,198578,True,99288,1,0,democrat,53
turner-65025,turnerd,Danny,False,Turner,Danny Turner,2,republican,26.2,26.2,15,CA,70619,False,70620,0,0,republican,53
costa-6818,costaj,Jim,True,Costa,Jim Costa,1,democrat,58.0,58.0,16,CA,97473,True,48736,1,0,democrat,53
tacherra-62837,tacherraj,Johnny,False,Tacherra,Johnny Tacherra,2,republican,42.0,42.0,16,CA,70483,False,70484,0,0,republican,53
khanna-7547,khannar,Ro,False,Khanna,Ro Khanna,2,democrat,61.0,61.0,17,CA,142268,True,71133,1,0,democrat,53
honda-1206,hondam,Mike,True,Honda,Mike Honda,1,democrat,39.0,39.0,17,CA,90924,False,90924,0,0,democrat,53
eshoo-43,eshooa,Anna,True,Eshoo,Anna Eshoo,1,democrat,71.1,71.1,18,CA,230460,True,115229,1,0,democrat,53
